"ID"	"term"	"GeneRatio"	"BgRatio"	"pvalue"	"adj_pval"	"qvalue"	"genes"	"count"	"category"
"GO:0009627"	"systemic acquired resistance"	"11/368"	"131/26032"	2.71237676409116e-06	0.000970805164395454	0.000106462492280328	"AT1G44350, AT1G58225, AT2G14610, AT2G37870, AT3G56400, AT4G14450, AT4G23170, AT4G23220, AT5G13220, AT5G13320, AT5G55450"	11	"BP"
"GO:0015709"	"thiosulfate transport"	"3/368"	"3/26032"	2.80235023760561e-06	0.000970805164395454	0.000106462492280328	"AT2G22500, AT4G24570, AT5G09470"	3	"BP"
"GO:0071422"	"succinate transmembrane transport"	"3/368"	"3/26032"	2.80235023760561e-06	0.000970805164395454	0.000106462492280328	"AT2G22500, AT4G24570, AT5G09470"	3	"BP"
"GO:0042430"	"indole-containing compound metabolic process"	"13/368"	"188/26032"	3.03494530262973e-06	0.00100566973091685	0.000110285884223707	"AT1G52000, AT1G54020, AT2G46650, AT3G56400, AT3G57460, AT4G04840, AT4G34410, AT5G02940, AT5G03204, AT5G03390, AT5G14700, AT5G28237, AT5G40210"	13	"BP"
"GO:0009723"	"response to ethylene"	"15/368"	"261/26032"	5.27537990346991e-06	0.00167523155632087	0.000183712791375224	"AT1G04180, AT1G06160, AT1G18300, AT1G73540, AT3G15356, AT3G51450, AT3G56400, AT4G11280, AT4G27654, AT4G27657, AT4G29780, AT5G44420, AT5G47220, AT5G57760, AT5G62280"	15	"BP"
"GO:0009308"	"amine metabolic process"	"12/368"	"170/26032"	5.89052237148772e-06	0.00179575112596193	0.000196929463703632	"AT1G09240, AT1G52000, AT2G04080, AT2G46650, AT3G28220, AT4G04840, AT4G34410, AT4G35190, AT5G03270, AT5G28237, AT5G40210, AT5G56080"	12	"BP"
"GO:0009625"	"response to insect"	"6/368"	"33/26032"	6.14671097005108e-06	0.00180178011932347	0.000197590627944152	"AT1G16410, AT1G52400, AT3G56400, AT4G13770, AT4G16740, AT5G44420"	6	"BP"
"GO:0009733"	"response to auxin"	"19/368"	"414/26032"	8.13273766273006e-06	0.00229564825808165	0.000251750241879441	"AT1G47485, AT1G52830, AT1G76610, AT3G09870, AT3G15540, AT3G25717, AT3G55120, AT4G11280, AT4G14819, AT4G16515, AT4G32280, AT4G34410, AT5G02540, AT5G08640, AT5G12050, AT5G13930, AT5G18050, AT5G50335, AT5G50760"	19	"BP"
"GO:0071369"	"cellular response to ethylene stimulus"	"10/368"	"122/26032"	9.55859132925441e-06	0.00260176585059798	0.000285320357722857	"AT1G06160, AT1G73540, AT3G15356, AT3G56400, AT4G27654, AT4G27657, AT4G29780, AT5G47220, AT5G57760, AT5G62280"	10	"BP"
"GO:0015744"	"succinate transport"	"3/368"	"4/26032"	1.10915103856609e-05	0.00291490925175772	0.000319660952675672	"AT2G22500, AT4G24570, AT5G09470"	3	"BP"
"GO:0009751"	"response to salicylic acid"	"20/368"	"464/26032"	1.18106829068883e-05	0.00300044797824774	0.000329041481686644	"AT1G21250, AT1G43160, AT1G58225, AT2G14560, AT2G33380, AT3G22231, AT3G45860, AT3G51450, AT3G56400, AT4G14400, AT4G14450, AT4G23170, AT4G23220, AT4G29780, AT4G34950, AT4G35180, AT5G01900, AT5G26690, AT5G44568, AT5G54610"	20	"BP"
"GO:0009409"	"response to cold"	"20/368"	"466/26032"	1.2568825854154e-05	0.0030900489661683	0.000338867495015222	"AT1G12610, AT1G27730, AT1G29395, AT1G43160, AT1G73540, AT2G28900, AT2G33380, AT2G42530, AT2G42540, AT3G25770, AT4G04330, AT4G14400, AT4G25470, AT4G29780, AT4G33980, AT5G15970, AT5G40420, AT5G42900, AT5G50950, AT5G52310"	20	"BP"
"GO:0007623"	"circadian rhythm"	"11/368"	"155/26032"	1.3675593143486e-05	0.00315838143562689	0.000346361115021623	"AT1G68050, AT2G42540, AT3G21890, AT3G22231, AT3G51400, AT4G33980, AT5G12050, AT5G24470, AT5G42900, AT5G52310, AT5G60100"	11	"BP"
"GO:0048511"	"rhythmic process"	"11/368"	"155/26032"	1.3675593143486e-05	0.00315838143562689	0.000346361115021623	"AT1G68050, AT2G42540, AT3G21890, AT3G22231, AT3G51400, AT4G33980, AT5G12050, AT5G24470, AT5G42900, AT5G52310, AT5G60100"	11	"BP"
"GO:0031408"	"oxylipin biosynthetic process"	"5/368"	"23/26032"	1.49913889531504e-05	0.003360433468448	0.000368518973027907	"AT1G17420, AT1G72520, AT2G06050, AT3G45140, AT5G42650"	5	"BP"
"GO:0015729"	"oxaloacetate transport"	"3/368"	"5/26032"	2.7437346937032e-05	0.00570981993228104	0.000626162367853778	"AT2G22500, AT4G24570, AT5G09470"	3	"BP"
"GO:1900366"	"negative regulation of defense response to insect"	"3/368"	"5/26032"	2.7437346937032e-05	0.00570981993228104	0.000626162367853778	"AT2G38240, AT3G55970, AT5G05600"	3	"BP"
"GO:1901605"	"alpha-amino acid metabolic process"	"17/368"	"375/26032"	2.83653663770004e-05	0.00570981993228104	0.000626162367853778	"AT1G52000, AT1G65890, AT2G04080, AT2G39030, AT2G43100, AT2G46650, AT3G02020, AT3G22740, AT3G28220, AT3G58990, AT4G04840, AT4G33810, AT4G34410, AT4G37770, AT5G14200, AT5G28237, AT5G40210"	17	"BP"
"GO:0072330"	"monocarboxylic acid biosynthetic process"	"15/368"	"301/26032"	2.84690950623695e-05	0.00570981993228104	0.000626162367853778	"AT1G06080, AT1G17420, AT1G20510, AT1G72520, AT2G04080, AT2G06050, AT2G33380, AT3G25760, AT3G25770, AT3G45140, AT4G04840, AT4G18440, AT5G02940, AT5G14700, AT5G42650"	15	"BP"
"GO:0044272"	"sulfur compound biosynthetic process"	"11/368"	"175/26032"	4.22019609514288e-05	0.00824708309958901	0.000904409095693239	"AT1G16410, AT1G54020, AT1G62560, AT2G43100, AT3G19710, AT3G22740, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT5G14200"	11	"BP"
"GO:0044106"	"cellular amine metabolic process"	"9/368"	"119/26032"	5.0450503212417e-05	0.0096125333030272	0.00105414998817524	"AT1G09240, AT1G52000, AT2G04080, AT2G46650, AT4G04840, AT4G34410, AT5G28237, AT5G40210, AT5G56080"	9	"BP"
"GO:0006690"	"icosanoid metabolic process"	"3/368"	"6/26032"	5.42983539413791e-05	0.010093345828745	0.00110687786981913	"AT3G03480, AT3G45140, AT5G42650"	3	"BP"
"GO:0044550"	"secondary metabolite biosynthetic process"	"12/368"	"213/26032"	5.56879393234489e-05	0.0101051834823185	0.00110817603565961	"AT1G16410, AT1G62560, AT2G04080, AT2G43100, AT2G46770, AT3G19710, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT5G13930, AT5G14200"	12	"BP"
"GO:0009639"	"response to red or far red light"	"17/368"	"405/26032"	7.36104065444141e-05	0.0130285452833178	0.00142876392969426	"AT1G10370, AT1G18400, AT1G52410, AT1G52830, AT1G73480, AT1G78370, AT2G29090, AT2G32130, AT2G42540, AT4G27657, AT4G32280, AT4G33980, AT5G02540, AT5G04190, AT5G24470, AT5G42900, AT5G57760"	17	"BP"
"GO:0098754"	"detoxification"	"10/368"	"155/26032"	7.54186212595104e-05	0.0130285452833178	0.00142876392969426	"AT1G10370, AT1G32540, AT1G49860, AT1G61890, AT1G78370, AT2G04080, AT3G03190, AT3G23550, AT5G24660, AT5G44050"	10	"BP"
"GO:0006576"	"cellular biogenic amine metabolic process"	"8/368"	"98/26032"	7.69265214035637e-05	0.0130285452833178	0.00142876392969426	"AT1G09240, AT1G52000, AT2G46650, AT4G04840, AT4G34410, AT5G28237, AT5G40210, AT5G56080"	8	"BP"
"GO:0002831"	"regulation of response to biotic stimulus"	"11/368"	"194/26032"	0.000106773429515525	0.0176904022021261	0.00194000235778779	"AT1G32540, AT1G44350, AT2G38240, AT3G22231, AT3G55970, AT3G56400, AT4G14400, AT5G05600, AT5G13220, AT5G13320, AT5G47220"	11	"BP"
"GO:0009873"	"ethylene-activated signaling pathway"	"8/368"	"104/26032"	0.000117014919096683	0.018974735254861	0.00208084760946846	"AT1G06160, AT1G73540, AT3G56400, AT4G27654, AT4G27657, AT4G29780, AT5G47220, AT5G57760"	8	"BP"
"GO:0002213"	"defense response to insect"	"5/368"	"35/26032"	0.000125830443252126	0.0199791420844546	0.00219099499873219	"AT1G74930, AT2G38240, AT3G44260, AT3G55970, AT5G05600"	5	"BP"
"GO:0032101"	"regulation of response to external stimulus"	"11/368"	"199/26032"	0.000133695294817019	0.020794687086577	0.00228043102222799	"AT1G32540, AT1G44350, AT2G38240, AT3G22231, AT3G55970, AT3G56400, AT4G14400, AT5G05600, AT5G13220, AT5G13320, AT5G47220"	11	"BP"
"GO:0010200"	"response to chitin"	"14/368"	"314/26032"	0.000169557185634022	0.0258451193132749	0.0028342822188087	"AT1G18300, AT1G27730, AT1G58225, AT1G73540, AT3G15356, AT3G16530, AT3G19030, AT3G50800, AT4G14450, AT4G27654, AT4G27657, AT4G29780, AT5G14700, AT5G21960"	14	"BP"
"GO:0071456"	"cellular response to hypoxia"	"12/368"	"242/26032"	0.000186030618584729	0.0278001155108373	0.00304867515286428	"AT1G18300, AT1G27730, AT1G72910, AT1G72920, AT1G76650, AT2G22500, AT2G41090, AT3G56400, AT4G24570, AT4G27657, AT4G29780, AT5G20790"	12	"BP"
"GO:0036294"	"cellular response to decreased oxygen levels"	"12/368"	"244/26032"	0.000200719927163972	0.0288633654035904	0.00316527551476056	"AT1G18300, AT1G27730, AT1G72910, AT1G72920, AT1G76650, AT2G22500, AT2G41090, AT3G56400, AT4G24570, AT4G27657, AT4G29780, AT5G20790"	12	"BP"
"GO:0071453"	"cellular response to oxygen levels"	"12/368"	"244/26032"	0.000200719927163972	0.0288633654035904	0.00316527551476056	"AT1G18300, AT1G27730, AT1G72910, AT1G72920, AT1G76650, AT2G22500, AT2G41090, AT3G56400, AT4G24570, AT4G27657, AT4G29780, AT5G20790"	12	"BP"
"GO:0071423"	"malate transmembrane transport"	"3/368"	"9/26032"	0.0002209522981397	0.0311843796872989	0.00341980749947216	"AT2G22500, AT4G24570, AT5G09470"	3	"BP"
"GO:1900150"	"regulation of defense response to fungus"	"5/368"	"40/26032"	0.00024071232649009	0.0333555408677095	0.00365790597575371	"AT2G38240, AT3G22231, AT3G55970, AT4G14400, AT5G05600"	5	"BP"
"GO:0002239"	"response to oomycetes"	"8/368"	"116/26032"	0.000249317505360252	0.03393103382385	0.00372101690330903	"AT2G29220, AT3G16530, AT3G22231, AT3G23550, AT3G56400, AT4G14400, AT5G24660, AT5G60310"	8	"BP"
"GO:0002229"	"defense response to oomycetes"	"7/368"	"91/26032"	0.000311677568206853	0.0416737936932104	0.00457011983668035	"AT2G29220, AT3G22231, AT3G23550, AT3G56400, AT4G14400, AT5G24660, AT5G60310"	7	"BP"
"GO:0031349"	"positive regulation of defense response"	"7/368"	"94/26032"	0.000380192240896857	0.0499582943126241	0.00547863229168974	"AT1G08860, AT1G32540, AT3G22231, AT3G56400, AT4G14400, AT5G13320, AT5G47220"	7	"BP"
